Node	node_type	bigg_id	universal_bigg_id	metabolite_name	Super.class	bigg_model_list	database_links
D-Glycerate 2-phosphate	metabolite	2pg_c	2pg	D-Glycerate 2-phosphate	Organic oxygen compounds	iNF517; iJB785; Recon3D; iEC1349_Crooks; iLB1027_lipid; iML1515; iYS854; iCHOv1_DG44; iEC1356_Bl21DE3; iEK1008; iAM_Pf480; iIS312; iIS312_Trypomastigote; iIS312_Amastigote; iCN900; iEC1364_W; iYS1720; iEC1368_DH5a; iAM_Pv461; iEC1344_C; iIS312_Epimastigote; iAM_Pk459; iAM_Pb448; iCN718; iSynCJ816; iAM_Pc455; iEC1372_W3110; iJN1463; iECED1_1282; iECABU_c1320; iECB_1328; iEC55989_1330; iECH74115_1262; iECDH1ME8569_1439; iECBD_1354; iECD_1391; iECDH10B_1368; iEcE24377_1341; iEcHS_1320; iEcDH1_1363; iNJ661; iAPECO1_1312; iND750; iSB619; iJN746; iAF1260; iEC042_1314; iSF_1195; iPC815; iE2348C_1286; iJO1366; iBWG_1329; iIT341; iMM904; iB21_1397; ic_1306; iG2583_1286; iECW_1372; iECSP_1301; iEKO11_1354; iS_1188; iECSE_1348; iLF82_1304; iETEC_1333; iECSF_1327; iEcSMS35_1347; iNRG857_1313; iECUMN_1333; iAF987; iYO844; STM_v1_0; iAF1260b; iCHOv1; iRC1080; iHN637; iMM1415; iLJ478; iAB_RBC_283; iAT_PLT_636; iAF692; iJN678; RECON1; iY75_1357; iSDY_1059; iJR904; iSBO_1134; iZ_1308; iYL1228; iWFL_1372; iSbBS512_1146; iUMNK88_1353; iUTI89_1310; iSFV_1184; iUMN146_1321; iSSON_1240; e_coli_core; iSFxv_1172; iECP_1309; iECO111_1330; iECIAI1_1343; iECNA114_1301; iEcolC_1368; iECS88_1305; iECOK1_1307; iECO103_1326; iECs_1301; iECO26_1355; iECIAI39_1322	Reactome Compound: http://identifiers.org/reactome/R-ALL-30485; KEGG Compound: http://identifiers.org/kegg.compound/C00631; CHEBI: http://identifiers.org/chebi/CHEBI:11651; CHEBI: http://identifiers.org/chebi/CHEBI:1267; CHEBI: http://identifiers.org/chebi/CHEBI:12986; CHEBI: http://identifiers.org/chebi/CHEBI:17835; CHEBI: http://identifiers.org/chebi/CHEBI:21028; CHEBI: http://identifiers.org/chebi/CHEBI:24344; CHEBI: http://identifiers.org/chebi/CHEBI:39868; CHEBI: http://identifiers.org/chebi/CHEBI:58289; CHEBI: http://identifiers.org/chebi/CHEBI:88350; InChI Key: https://identifiers.org/inchikey/GXIURPTVHJPJLF-UWTATZPHSA-K; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00362; Human Metabolome Database: http://identifiers.org/hmdb/HMDB03391; Human Metabolome Database: http://identifiers.org/hmdb/HMDB62707; BioCyc: http://identifiers.org/biocyc/META:2-PG; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM275; SEED Compound: http://identifiers.org/seed.compound/cpd00482
D-Mannose 1-phosphate	metabolite	man1p_c	man1p	D-Mannose 1-phosphate	Organic oxygen compounds	iLF82_1304; iS_1188; iECSF_1327; iG2583_1286; iEcSMS35_1347; iEKO11_1354; iECSP_1301; iNRG857_1313; iECSE_1348; iETEC_1333; iECUMN_1333; iECW_1372; iEC042_1314; ic_1306; iAF1260; iPC815; iMM904; iND750; iJO1366; iE2348C_1286; iNJ661; iIT341; iSB619; iBWG_1329; iAPECO1_1312; iSF_1195; iB21_1397; iMM1415; iRC1080; iAF1260b; iHN637; iAB_RBC_283; STM_v1_0; iJN678; iAF987; iY75_1357; iYL1228; iYO844; iAF692; RECON1; iECS88_1305; iECIAI1_1343; iECIAI39_1322; iECNA114_1301; iECOK1_1307; iECs_1301; iECO26_1355; iECO103_1326; iECP_1309; iEcolC_1368; iECO111_1330; iWFL_1372; iZ_1308; iSFxv_1172; iSBO_1134; iJR904; iUTI89_1310; iSDY_1059; iSSON_1240; iUMNK88_1353; iUMN146_1321; iSbBS512_1146; iSFV_1184; iECED1_1282; iEcE24377_1341; iECB_1328; iECABU_c1320; iECD_1391; iEC55989_1330; iECDH1ME8569_1439; iECDH10B_1368; iEcDH1_1363; iEcHS_1320; iECBD_1354; iECH74115_1262; iLB1027_lipid; iML1515; iEC1356_Bl21DE3; iCHOv1; Recon3D; iJB785; iYS854; iCHOv1_DG44; iEC1349_Crooks; iEK1008; iAM_Pv461; iAM_Pk459; iAM_Pb448; iJN1463; iEC1364_W; iYS1720; iSynCJ816; iEC1368_DH5a; iIS312_Trypomastigote; iCN900; iIS312_Amastigote; iAM_Pf480; iIS312_Epimastigote; iAM_Pc455; iEC1372_W3110; iIS312; iCN718; iEC1344_C	Reactome Compound: http://identifiers.org/reactome/R-ALL-532531; KEGG Compound: http://identifiers.org/kegg.compound/C00636; CHEBI: http://identifiers.org/chebi/CHEBI:10261; CHEBI: http://identifiers.org/chebi/CHEBI:12327; CHEBI: http://identifiers.org/chebi/CHEBI:18205; CHEBI: http://identifiers.org/chebi/CHEBI:21058; CHEBI: http://identifiers.org/chebi/CHEBI:22404; CHEBI: http://identifiers.org/chebi/CHEBI:35374; CHEBI: http://identifiers.org/chebi/CHEBI:4210; CHEBI: http://identifiers.org/chebi/CHEBI:43854; CHEBI: http://identifiers.org/chebi/CHEBI:58409; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01436; Human Metabolome Database: http://identifiers.org/hmdb/HMDB06330; InChI Key: https://identifiers.org/inchikey/HXXFSFRBOHSIMQ-RWOPYEJCSA-L; BioCyc: http://identifiers.org/biocyc/META:MANNOSE-1P; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM721; SEED Compound: http://identifiers.org/seed.compound/cpd00485
D-Ribose	metabolite	rib__D_e	rib__D	D-Ribose	Organic oxygen compounds	iEC1349_Crooks; iML1515; iEC1364_W; iCHOv1; iCHOv1_DG44; iEK1008; iEC1356_Bl21DE3; Recon3D; iYS854; iNF517; iCN900; iEC1368_DH5a; iEC1344_C; iEC1372_W3110; iYS1720; iJN1463; iCN718; iECIAI1_1343; iECO111_1330; iECO26_1355; iECs_1301; iECSE_1348; iECO103_1326; iECOK1_1307; iECIAI39_1322; iECNA114_1301; iECS88_1305; iEcolC_1368; iECP_1309; iEcE24377_1341; iECD_1391; iEcHS_1320; iECABU_c1320; iECBD_1354; iEcDH1_1363; iECED1_1282; iECDH1ME8569_1439; iEC55989_1330; iECH74115_1262; iECDH10B_1368; iECB_1328; iND750; iPC815; iSB619; iAPECO1_1312; iNJ661; iE2348C_1286; iAF1260; iMM904; iEC042_1314; iJO1366; iBWG_1329; iB21_1397; iSF_1195; iJN746; ic_1306; iYL1228; iYO844; iY75_1357; RECON1; iMM1415; iLJ478; iHN637; iAF1260b; STM_v1_0; iRC1080; iECSP_1301; iETEC_1333; iECSF_1327; iS_1188; iG2583_1286; iNRG857_1313; iEKO11_1354; iECUMN_1333; iEcSMS35_1347; iECW_1372; iLF82_1304; iSbBS512_1146; iSFV_1184; iJR904; iUMNK88_1353; iWFL_1372; iZ_1308; iUTI89_1310; iSDY_1059; iSFxv_1172; iSSON_1240; iSBO_1134; iUMN146_1321	KEGG Compound: http://identifiers.org/kegg.compound/C00121; KEGG Compound: http://identifiers.org/kegg.compound/C21057; CHEBI: http://identifiers.org/chebi/CHEBI:13011; CHEBI: http://identifiers.org/chebi/CHEBI:16988; CHEBI: http://identifiers.org/chebi/CHEBI:21078; CHEBI: http://identifiers.org/chebi/CHEBI:4233; CHEBI: http://identifiers.org/chebi/CHEBI:46999; CHEBI: http://identifiers.org/chebi/CHEBI:47006; CHEBI: http://identifiers.org/chebi/CHEBI:47013; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00283; InChI Key: https://identifiers.org/inchikey/HMFHBZSHGGEWLO-SOOFDHNKSA-N; BioCyc: http://identifiers.org/biocyc/META:D-Ribofuranose; BioCyc: http://identifiers.org/biocyc/META:D-Ribopyranose; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM242; SEED Compound: http://identifiers.org/seed.compound/cpd00105
DAMP C10H12N5O6P	metabolite	damp_c	damp	DAMP C10H12N5O6P	"Nucleosides, nucleotides, and analogues"	iS_1188; iEcSMS35_1347; iECSF_1327; iETEC_1333; iECW_1372; iLF82_1304; iECSP_1301; iECSE_1348; iNRG857_1313; iECUMN_1333; iEKO11_1354; iG2583_1286; iRC1080; iY75_1357; iAF692; iAF987; iYO844; STM_v1_0; RECON1; iHN637; iLJ478; iMM1415; iJN678; iCHOv1; iAF1260b; iECS88_1305; iECOK1_1307; iECP_1309; iECNA114_1301; iECO26_1355; iECO103_1326; iECIAI39_1322; iECIAI1_1343; iECO111_1330; iECs_1301; iEcolC_1368; iUMNK88_1353; iSFxv_1172; iSbBS512_1146; iWFL_1372; iSFV_1184; iZ_1308; iUTI89_1310; iSBO_1134; iSDY_1059; iYL1228; iUMN146_1321; iJR904; iSSON_1240; iEK1008; iML1515; iJB785; iEC1356_Bl21DE3; iCHOv1_DG44; iEC1349_Crooks; iNF517; iLB1027_lipid; iYS854; Recon3D; iIS312_Trypomastigote; iAM_Pb448; iIS312_Epimastigote; iSynCJ816; iAM_Pv461; iJN1463; iAM_Pc455; iEC1368_DH5a; iEC1344_C; iCN718; iAM_Pk459; iIS312; iCN900; iIS312_Amastigote; iAM_Pf480; iEC1372_W3110; iEC1364_W; iYS1720; iEC042_1314; iMM904; iJN746; iIT341; iSF_1195; iAPECO1_1312; iB21_1397; iJO1366; iAF1260; ic_1306; iND750; iPC815; iE2348C_1286; iBWG_1329; iNJ661; iSB619; iECDH10B_1368; iECBD_1354; iEcDH1_1363; iECDH1ME8569_1439; iECABU_c1320; iECED1_1282; iEC55989_1330; iEcE24377_1341; iECD_1391; iECB_1328; iECH74115_1262; iEcHS_1320	Reactome Compound: http://identifiers.org/reactome/R-ALL-109386; Reactome Compound: http://identifiers.org/reactome/R-ALL-500088; KEGG Compound: http://identifiers.org/kegg.compound/C00360; CHEBI: http://identifiers.org/chebi/CHEBI:10490; CHEBI: http://identifiers.org/chebi/CHEBI:14068; CHEBI: http://identifiers.org/chebi/CHEBI:17713; CHEBI: http://identifiers.org/chebi/CHEBI:19236; CHEBI: http://identifiers.org/chebi/CHEBI:40419; CHEBI: http://identifiers.org/chebi/CHEBI:40499; CHEBI: http://identifiers.org/chebi/CHEBI:40505; CHEBI: http://identifiers.org/chebi/CHEBI:40544; CHEBI: http://identifiers.org/chebi/CHEBI:40607; CHEBI: http://identifiers.org/chebi/CHEBI:40614; CHEBI: http://identifiers.org/chebi/CHEBI:41815; CHEBI: http://identifiers.org/chebi/CHEBI:41864; CHEBI: http://identifiers.org/chebi/CHEBI:41870; CHEBI: http://identifiers.org/chebi/CHEBI:58245; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00905; InChI Key: https://identifiers.org/inchikey/KHWCHTKSEGGWEX-RRKCRQDMSA-L; BioCyc: http://identifiers.org/biocyc/META:DAMP; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM432; SEED Compound: http://identifiers.org/seed.compound/cpd00294
Decanoyl-CoA (n-C10:0CoA)	metabolite	dcacoa_c	dcacoa	Decanoyl-CoA (n-C10:0CoA)	Lipids and lipid-like molecules	iWFL_1372; iYL1228; iSFxv_1172; iUMNK88_1353; iUTI89_1310; iSSON_1240; iSDY_1059; iSBO_1134; iZ_1308; iUMN146_1321; iSFV_1184; iSbBS512_1146; iEcolC_1368; iECs_1301; iECP_1309; iECO103_1326; iECS88_1305; iECO26_1355; iECIAI1_1343; iECOK1_1307; iECIAI39_1322; iECSE_1348; iECO111_1330; iECNA114_1301; Recon3D; iYS854; iML1515; iEC1349_Crooks; iEC1364_W; iEC1356_Bl21DE3; iY75_1357; iAT_PLT_636; RECON1; iAF987; iAF1260b; STM_v1_0; iMM1415; iB21_1397; iBWG_1329; iJO1366; iND750; iSF_1195; iEC042_1314; iE2348C_1286; iAF1260; iAPECO1_1312; iMM904; iJN746; iPC815; ic_1306; iSB619; iECED1_1282; iEcHS_1320; iECDH10B_1368; iECDH1ME8569_1439; iECABU_c1320; iECBD_1354; iEC55989_1330; iECD_1391; iECH74115_1262; iECB_1328; iEcDH1_1363; iEcE24377_1341; iAM_Pv461; iYS1720; iEC1372_W3110; iEC1344_C; iAM_Pc455; iEC1368_DH5a; iAM_Pf480; iJN1463; iAM_Pb448; iAM_Pk459; iECW_1372; iS_1188; iNRG857_1313; iEKO11_1354; iETEC_1333; iECSP_1301; iECSF_1327; iG2583_1286; iLF82_1304; iEcSMS35_1347; iECUMN_1333	Human Metabolome Database: http://identifiers.org/hmdb/HMDB06404; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM162283
Deoxyuridine	metabolite	duri_c	duri	Deoxyuridine	"Nucleosides, nucleotides, and analogues"	iECSP_1301; iECUMN_1333; iEcSMS35_1347; iECSF_1327; iECW_1372; iLF82_1304; iNRG857_1313; iS_1188; iG2583_1286; iECSE_1348; iETEC_1333; iEKO11_1354; iLJ478; iAF1260b; STM_v1_0; iHN637; iRC1080; iAF692; iCHOv1; RECON1; iYO844; iY75_1357; iMM1415; iECO103_1326; iECO26_1355; iECs_1301; iECS88_1305; iECOK1_1307; iECP_1309; iECNA114_1301; iECO111_1330; iECIAI1_1343; iECIAI39_1322; iEcolC_1368; iJR904; iSbBS512_1146; iSDY_1059; iWFL_1372; iSFxv_1172; iUMN146_1321; iUTI89_1310; iSSON_1240; iUMNK88_1353; iZ_1308; iSFV_1184; iYL1228; iSBO_1134; iML1515; iNF517; iLB1027_lipid; iEC1349_Crooks; Recon3D; iEC1356_Bl21DE3; iYS854; iCHOv1_DG44; iEK1008; iEC1344_C; iJN1463; iCN718; iYS1720; iCN900; iEC1368_DH5a; iEC1372_W3110; iEC1364_W; iMM904; iIT341; iEC042_1314; iAPECO1_1312; iBWG_1329; iNJ661; iSF_1195; iSB619; iPC815; iJO1366; iE2348C_1286; ic_1306; iB21_1397; iAF1260; iND750; iEcHS_1320; iECDH10B_1368; iEC55989_1330; iECD_1391; iECED1_1282; iEcE24377_1341; iECH74115_1262; iECBD_1354; iECABU_c1320; iEcDH1_1363; iECDH1ME8569_1439; iECB_1328	Reactome Compound: http://identifiers.org/reactome/R-ALL-500430; KEGG Compound: http://identifiers.org/kegg.compound/C00526; CHEBI: http://identifiers.org/chebi/CHEBI:11398; CHEBI: http://identifiers.org/chebi/CHEBI:11572; CHEBI: http://identifiers.org/chebi/CHEBI:14123; CHEBI: http://identifiers.org/chebi/CHEBI:16450; CHEBI: http://identifiers.org/chebi/CHEBI:19261; CHEBI: http://identifiers.org/chebi/CHEBI:23640; CHEBI: http://identifiers.org/chebi/CHEBI:29113; CHEBI: http://identifiers.org/chebi/CHEBI:42178; CHEBI: http://identifiers.org/chebi/CHEBI:4434; CHEBI: http://identifiers.org/chebi/CHEBI:46165; CHEBI: http://identifiers.org/chebi/CHEBI:46289; CHEBI: http://identifiers.org/chebi/CHEBI:46293; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00012; BioCyc: http://identifiers.org/biocyc/META:DEOXYURIDINE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM492; InChI Key: https://identifiers.org/inchikey/MXHRCPNRJAMMIM-SHYZEUOFSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00412
DGMP C10H12N5O7P	metabolite	dgmp_c	dgmp	DGMP C10H12N5O7P	"Nucleosides, nucleotides, and analogues"	iE2348C_1286; iAPECO1_1312; iJO1366; iNJ661; iBWG_1329; iMM904; iAF1260; ic_1306; iEC042_1314; iND750; iSF_1195; iSB619; iPC815; iJN746; iB21_1397; iIT341; iEC55989_1330; iEcDH1_1363; iECABU_c1320; iECB_1328; iEcE24377_1341; iECH74115_1262; iECDH1ME8569_1439; iEcHS_1320; iECD_1391; iECBD_1354; iECED1_1282; iECDH10B_1368; iEcSMS35_1347; iECSE_1348; iG2583_1286; iS_1188; iECUMN_1333; iECSF_1327; iECSP_1301; iLF82_1304; iECW_1372; iNRG857_1313; iETEC_1333; iEKO11_1354; iAM_Pk459; iEC1372_W3110; iEC1368_DH5a; iAM_Pc455; iIS312_Trypomastigote; iAM_Pf480; iAM_Pb448; iIS312_Amastigote; iJN1463; iCN900; iEC1344_C; iIS312; iIS312_Epimastigote; iYS1720; iCN718; iEC1364_W; iAM_Pv461; iUMNK88_1353; iSFxv_1172; iJR904; iUMN146_1321; iUTI89_1310; iSDY_1059; iSFV_1184; iSbBS512_1146; iSBO_1134; iYL1228; iWFL_1372; iSSON_1240; iZ_1308; iECO111_1330; iECIAI39_1322; iECNA114_1301; iECO26_1355; iECP_1309; iECS88_1305; iEcolC_1368; iECO103_1326; iECs_1301; iECIAI1_1343; iECOK1_1307; iRC1080; iAF1260b; iHN637; iYO844; iY75_1357; STM_v1_0; iMM1415; iLJ478; RECON1; iCHOv1; iAF987; iLB1027_lipid; iEC1356_Bl21DE3; iYS854; Recon3D; iML1515; iEC1349_Crooks; iNF517; iCHOv1_DG44; iEK1008	Reactome Compound: http://identifiers.org/reactome/R-ALL-500071; KEGG Compound: http://identifiers.org/kegg.compound/C00362; CHEBI: http://identifiers.org/chebi/CHEBI:10496; CHEBI: http://identifiers.org/chebi/CHEBI:14074; CHEBI: http://identifiers.org/chebi/CHEBI:16192; CHEBI: http://identifiers.org/chebi/CHEBI:19246; CHEBI: http://identifiers.org/chebi/CHEBI:41902; CHEBI: http://identifiers.org/chebi/CHEBI:41939; CHEBI: http://identifiers.org/chebi/CHEBI:41944; CHEBI: http://identifiers.org/chebi/CHEBI:42676; CHEBI: http://identifiers.org/chebi/CHEBI:42726; CHEBI: http://identifiers.org/chebi/CHEBI:42733; CHEBI: http://identifiers.org/chebi/CHEBI:45049; CHEBI: http://identifiers.org/chebi/CHEBI:47449; CHEBI: http://identifiers.org/chebi/CHEBI:57673; InChI Key: https://identifiers.org/inchikey/LTFMZDNNPPEQNG-KVQBGUIXSA-L; BioCyc: http://identifiers.org/biocyc/META:DGMP; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM546; SEED Compound: http://identifiers.org/seed.compound/cpd00296
Dodecanoyl-CoA (n-C12:0CoA)	metabolite	ddcacoa_c	ddcacoa	Dodecanoyl-CoA (n-C12:0CoA)	Organic acids and derivatives	iNRG857_1313; iEcSMS35_1347; iEKO11_1354; iLF82_1304; iS_1188; iG2583_1286; iECW_1372; iECSP_1301; iECUMN_1333; iETEC_1333; iECSF_1327; iAT_PLT_636; iAF1260b; iY75_1357; iAF987; iMM1415; STM_v1_0; RECON1; iECOK1_1307; iECO103_1326; iECP_1309; iECIAI1_1343; iECNA114_1301; iECO111_1330; iECs_1301; iECS88_1305; iECO26_1355; iEcolC_1368; iECIAI39_1322; iECSE_1348; iZ_1308; iYL1228; iSDY_1059; iSSON_1240; iUMN146_1321; iSFxv_1172; iUMNK88_1353; iSFV_1184; iSbBS512_1146; iUTI89_1310; iSBO_1134; iWFL_1372; Recon3D; iML1515; iEC1364_W; iEC1356_Bl21DE3; iEC1349_Crooks; iAM_Pv461; iAM_Pf480; iYS1720; iAM_Pk459; iEC1368_DH5a; iEC1372_W3110; iAM_Pb448; iJN1463; iAM_Pc455; iEC1344_C; iSF_1195; iMM904; iE2348C_1286; iAF1260; iSB619; iND750; iEC042_1314; iJO1366; ic_1306; iPC815; iAPECO1_1312; iB21_1397; iBWG_1329; iJN746; iECABU_c1320; iECDH1ME8569_1439; iEcDH1_1363; iEcHS_1320; iECED1_1282; iECBD_1354; iEC55989_1330; iECH74115_1262; iECD_1391; iECB_1328; iECDH10B_1368; iEcE24377_1341	Reactome Compound: http://identifiers.org/reactome/R-ALL-77261; KEGG Compound: http://identifiers.org/kegg.compound/C01832; CHEBI: http://identifiers.org/chebi/CHEBI:14188; CHEBI: http://identifiers.org/chebi/CHEBI:14501; CHEBI: http://identifiers.org/chebi/CHEBI:15521; CHEBI: http://identifiers.org/chebi/CHEBI:25014; CHEBI: http://identifiers.org/chebi/CHEBI:41874; CHEBI: http://identifiers.org/chebi/CHEBI:57375; CHEBI: http://identifiers.org/chebi/CHEBI:6392; Human Metabolome Database: http://identifiers.org/hmdb/HMDB03571; LipidMaps: http://identifiers.org/lipidmaps/LMFA07050005; LipidMaps: http://identifiers.org/lipidmaps/LMFA07050340; BioCyc: http://identifiers.org/biocyc/META:LAUROYLCOA-CPD; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM363; InChI Key: https://identifiers.org/inchikey/YMCXGHLSVALICC-GMHMEAMDSA-J; SEED Compound: http://identifiers.org/seed.compound/cpd01260
DUMP C9H11N2O8P	metabolite	dump_c	dump	DUMP C9H11N2O8P	"Nucleosides, nucleotides, and analogues"	iJR904; iUMN146_1321; iZ_1308; iUTI89_1310; iWFL_1372; iUMNK88_1353; iSFV_1184; iSBO_1134; iSSON_1240; iSbBS512_1146; iSFxv_1172; iSDY_1059; iYL1228; iECS88_1305; iECIAI1_1343; iECOK1_1307; iECs_1301; iEcolC_1368; iECO26_1355; iECO103_1326; iECNA114_1301; iECO111_1330; iECIAI39_1322; iECP_1309; iJB785; Recon3D; iEK1008; iEC1349_Crooks; iML1515; iEC1356_Bl21DE3; iLB1027_lipid; iNF517; iYS854; iCHOv1_DG44; iMM1415; iCHOv1; iLJ478; RECON1; iJN678; iAF987; iHN637; iAF1260b; iY75_1357; STM_v1_0; iYO844; iRC1080; iAF692; iE2348C_1286; iIT341; iJN746; iB21_1397; iPC815; iSB619; iEC042_1314; iSF_1195; iJO1366; iND750; iAF1260; iMM904; ic_1306; iBWG_1329; iNJ661; iAPECO1_1312; iEcHS_1320; iEcDH1_1363; iECBD_1354; iECDH10B_1368; iECD_1391; iECED1_1282; iECB_1328; iECDH1ME8569_1439; iEC55989_1330; iECABU_c1320; iECH74115_1262; iEcE24377_1341; iIS312_Trypomastigote; iSynCJ816; iAM_Pf480; iJN1463; iIS312_Amastigote; iAM_Pv461; iEC1372_W3110; iEC1344_C; iEC1368_DH5a; iAM_Pc455; iCN718; iIS312; iCN900; iAM_Pb448; iIS312_Epimastigote; iAM_Pk459; iYS1720; iEC1364_W; iECSP_1301; iECSF_1327; iEcSMS35_1347; iECSE_1348; iS_1188; iG2583_1286; iLF82_1304; iNRG857_1313; iETEC_1333; iECW_1372; iECUMN_1333; iEKO11_1354	Reactome Compound: http://identifiers.org/reactome/R-ALL-109382; Reactome Compound: http://identifiers.org/reactome/R-ALL-500742; KEGG Compound: http://identifiers.org/kegg.compound/C00365; CHEBI: http://identifiers.org/chebi/CHEBI:10532; CHEBI: http://identifiers.org/chebi/CHEBI:14094; CHEBI: http://identifiers.org/chebi/CHEBI:17622; CHEBI: http://identifiers.org/chebi/CHEBI:19263; CHEBI: http://identifiers.org/chebi/CHEBI:246422; CHEBI: http://identifiers.org/chebi/CHEBI:42245; CHEBI: http://identifiers.org/chebi/CHEBI:46286; CHEBI: http://identifiers.org/chebi/CHEBI:46288; CHEBI: http://identifiers.org/chebi/CHEBI:47722; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01409; InChI Key: https://identifiers.org/inchikey/JSRLJPSBLDHEIO-SHYZEUOFSA-L; BioCyc: http://identifiers.org/biocyc/META:DUMP; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM234; SEED Compound: http://identifiers.org/seed.compound/cpd00299
Ethanol	metabolite	etoh_c	etoh	Ethanol	Organic oxygen compounds	iAF1260; ic_1306; iE2348C_1286; iBWG_1329; iAPECO1_1312; iSF_1195; iND750; iEC042_1314; iIT341; iJO1366; iPC815; iB21_1397; iJN746; iSB619; iMM904; iECH74115_1262; iECD_1391; iECBD_1354; iECDH10B_1368; iECDH1ME8569_1439; iEcHS_1320; iEcDH1_1363; iECABU_c1320; iECB_1328; iECED1_1282; iEC55989_1330; iEcE24377_1341; iECW_1372; iECUMN_1333; iS_1188; iEcSMS35_1347; iETEC_1333; iG2583_1286; iECSF_1327; iLF82_1304; iECSP_1301; iNRG857_1313; iECSE_1348; iEKO11_1354; iEC1372_W3110; iYS1720; iCN900; iEC1364_W; iJN1463; iCN718; iEC1368_DH5a; iEC1344_C; iSynCJ816; iYL1228; iSFxv_1172; iWFL_1372; iJR904; iSFV_1184; iUTI89_1310; iSSON_1240; iSbBS512_1146; e_coli_core; iUMNK88_1353; iSBO_1134; iUMN146_1321; iZ_1308; iSDY_1059; iECO111_1330; iECS88_1305; iECO26_1355; iECP_1309; iECOK1_1307; iEcolC_1368; iECIAI39_1322; iECNA114_1301; iECO103_1326; iECs_1301; iECIAI1_1343; RECON1; iAF987; iHN637; iY75_1357; iJN678; iRC1080; iYO844; STM_v1_0; iAF692; iMM1415; iCHOv1; iAF1260b; iEC1349_Crooks; iNF517; iEC1356_Bl21DE3; iLB1027_lipid; iYS854; iEK1008; Recon3D; iML1515; iCHOv1_DG44	Reactome Compound: http://identifiers.org/reactome/R-ALL-113748; Reactome Compound: http://identifiers.org/reactome/R-ALL-30203; KEGG Compound: http://identifiers.org/kegg.compound/C00469; CHEBI: http://identifiers.org/chebi/CHEBI:14222; CHEBI: http://identifiers.org/chebi/CHEBI:16236; CHEBI: http://identifiers.org/chebi/CHEBI:23978; CHEBI: http://identifiers.org/chebi/CHEBI:30878; CHEBI: http://identifiers.org/chebi/CHEBI:30880; CHEBI: http://identifiers.org/chebi/CHEBI:42377; CHEBI: http://identifiers.org/chebi/CHEBI:44594; CHEBI: http://identifiers.org/chebi/CHEBI:4879; CHEBI: http://identifiers.org/chebi/CHEBI:52092; KEGG Drug: http://identifiers.org/kegg.drug/D00068; KEGG Drug: http://identifiers.org/kegg.drug/D02798; KEGG Drug: http://identifiers.org/kegg.drug/D04855; KEGG Drug: http://identifiers.org/kegg.drug/D06542; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00108; InChI Key: https://identifiers.org/inchikey/LFQSCWFLJHTTHZ-UHFFFAOYSA-N; BioCyc: http://identifiers.org/biocyc/META:ETOH; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM303; SEED Compound: http://identifiers.org/seed.compound/cpd00363
